id,twitid,date,text,beeline,mts,megafon,tele2,rostelecom,komstar,skylink
26,492384108816120000,1406228494,"@Grajdansky @megafonru @lexandrGurkin мы не можем работать бесплатно, а @rus_fas нас не накажет. Ведь мы ввели платные услуги по блок.спама",,,0,,,,
27,492384716171900000,1406228639,"Леонид Парфенов снялся в рекламе планшетного интернета от ""Мегафон"" | АБН | Агентство Бизнес Новостей http://t.co/FTisq1k15d",,,0,,,,
28,492385681617210000,1406228869,"@Beeline_RUS Забавно. Сообщает минуты и трафик,смс не сообщает (но смс меня не интересует). Спасибо.",0,,,,,,
29,492386657698450000,1406229101,"#Траффик на Билайне уходит неумолимо :(
#Билайн #Москва http://t.co/KGRzUG10xO",-1,,,,,,
30,492398877614830000,1406232015,"RT @owihycady: Новая реклама от пчелайна: - ""Просто пополняйте счет, и говорите бесплатно!"". Я один вижу здесь какой-то подвох?",-1,,,,,,
31,492400160089970000,1406232321,МТС проведет экскурсию дополненной реальности во Львове,,0,,,,,
32,492400161377640000,1406232321,#RT МТС приглашает на экскурсию по местам боевой славы Донецка,,0,,,,,
33,492402701238820000,1406232927,"@ru_mts вот утомили вы своей хитрожопостью, но пока альтернативы в местности нет, буду Вас заебывать.",,-1,,,,,
34,492402924140520000,1406232980,Мегафон рассказал о правилах путешествия с телефоном - Тюменская линия,,,0,,,,
35,492506279869300000,1406257622,«Ростелеком» стал партнером всероссийского конкурса «Поколение I»,,,,,0,,
36,492506446081560000,1406257661,МТС ввел звонок из роуминга за счет вызываемого абонента,,0,,,,,
37,492506489672990000,1406257672,МТС и Opera представили магазин мобильных приложений App Market,,0,,,,,
38,492507754977060000,1406257973,"@John_H_Barboza вай фай наверно еще, не?)) а мне на мтс не хватало, там лимит на день маловат, я дополнительно тратила на добавку))",,+-,,,,,
39,492507924254580000,1406258014,Мегафон e173 скачать прошивку http://t.co/22yRZHrRlv,,,0,,,,
40,492509650307130000,1406258425,Мегафон тверь справка http://t.co/EthMLtzIZo,,,0,,,,
41,492510342103060000,1406258590,Завтра может у меня будет и Домашнее Цифровое ТВ МТС #RT,,1,,,,,
42,492510730210800000,1406258683,"@Beeline_RUS ребят, касательно вашего чудесного Мой Билайн.app для iPhone. А можно его сделать ещё чуточку чудеснее?) http://t.co/MgNY0TdPpt",1,,,,,,
43,492511084989800000,1406258767,Настройка ммс на iphone 5 теле2 http://t.co/KMUGNUvJ1d,,,,0,,,
44,492512780705360000,1406259172,@Tselyanov @diden05 @redcom_internet Им и пользуюсь сейчас! Спасибо @MegaFonDVpr !,,,1,,,,
45,492514428839940000,1406259564,"Завтра придется идти в Мегафон, а то я что-то не разберу",,,-1,,,,
46,492517256593940000,1406260239,"@Beeline_RUS здравствуйте! У меня есть идея по поводу тарифа. А также хочу направить вам резюме. Не подскажете адреса, куда можно направить?",0,,,,,,
47,492519773860030000,1406260839,"Рынки больших городов насыщены, а программа цифровизации «Ростелекомом» малых населенных пунктов еще не началась",,,,,0,,
48,492520512740790000,1406261015,инструкция настройки роутера keenetic 4g мтс сотовый оператор http://t.co/yb0e28EJS2 #4g,,0,,,,,
49,492522451180320000,1406261477,"завтра хочу сделать фотку с Сашей из мтс ,реально !! уу,Женя меня убьет))",,1,,,,,
50,492522807507820000,1406261562,"Интернет в Тунке глючит, правда. #Мегафон тоже сволочной оператор.",,,-1,,,,
51,492524149244710000,1406261882,"Возможность быть ""онлайн"" - специфика работы требует - очень радует (теперь ещё вафай-переносной-модем куплю мегафоновский и вообще в",,,1,,,,
52,492524970300280000,1406262078,"RT @_Beeline_kz: Сегодня День Системного Администратора! =) С праздником, друзья! http://t.co/KiDNwq11ht",1,,,,,,
53,492527974278000000,1406262794,ОАО &amp;quot;Мобильные ТелеСистемы&amp;quot; сообщает о запуске в коммерческую эксплуатацию первой сети 4G в Тюменской области. Услуги мобильной п,,0,,,,,
54,492528199663100000,1406262848,Незаконная задолженность МТС - минус 9 миллионов! #minsk #ТвиттерСила,,-1,,,,,
55,492528940020680000,1406263024,«МегаФон» в Вологодской области: полгода на скоростях 4G+,,,1,,,,
56,492529470885340000,1406263151,"RT @EvaKobb: МТС Россия прислала жителям Херсонщины сообщения, в которых обозвала украинцев фашистами? http://t.co/a0cGv7RIaj",,-1,,,,,
57,492530400502510000,1406263372,«МТС Урал» отмечает рост продаж мобильных устройств с поддержкой 4G,,1,,,,,
58,492530940074530000,1406263501,"У группы есть ""голодный телефон"". Деньги, которые вы положите на этот номер: 8-965-925-0920 (Билайн), буд.. http://t.co/l64WsbRhb9",0,,,,,,
59,492532183333360000,1406263797,http://t.co/RrwH81dENe Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого або,,0,,,,,
60,492532370848100000,1406263842,10 июля 2014 года вещание телеканала CTC Love стартовало в цифровой кабельной сети «Билайн».,0,,,,,,
61,492532553891730000,1406263886,"RT @OliverLoveFrank: ЕСЛИ МОБ.ИНЕТ ОПЯТЬ НЕ ЗАРАБОТАЕТ - Я СОЖГУ ВО СЛАВУ САТАНЕ ВСЕ ЗДАНИЯ МТС
ТВАРЬ ЗАХАРИЛИ УЖЕ ЛИШАТЬ МЕНЯ ИНЕТА
Я ВАС …",,-1,,,,,
62,492533315807610000,1406264067,мтс банк ростовский филиал руководство http://t.co/Ksi2QXrhr9 #ростовский #банк,,0,,,,,
63,492534960340100000,1406264460,RT @MartinHayes13: Компания МТС после слогана «Ты лучше!» придумала ещё 2: «У тебя больше!» и «Ты чаще!»,,1,,,,,
64,492536293247970000,1406264777,"@parfenov1960 Мегафон, потому что самый крутой мобильный интернет.",,,1,,,,
65,492536699332090000,1406264874,"При этом выходишь на улицу и @megafonru снова летает! В метро показывает hspa+, а интернет не грузит вообще",,,+-,,,,
66,492537832120910000,1406265144,RT @JulikaAttaway: Драйвера на модем билайна http://t.co/nU25P1XOve,0,,,,,,
67,492538096068890000,1406265207,"@barskykd Константин, мы понимаем Вас.Но для того,что бы Вы могли пользоваться всеми возможностями нашей компании,пож-та,обратитесь=&gt;#билайн",0,,,,,,
68,492538360817150000,1406265270,"Интересно. Интернет от МТС, бывший Стрим, вообще в курсе, что он высокоскоростной?! Скорость имеет, к тому же, волновую природу.",,-1,,,,,
69,492538676577330000,1406265346,код ошибки 4 билайн http://t.co/NePXo4S0YO,0,,,,,,
70,492540961155990000,1406265890,МТС лучший,,1,,,,,
71,492541058992340000,1406265914,«Ростелеком» подсчитал ущерб от наводнения на Алтае,,,,,0,,
72,492541240341450000,1406265957,e367 мегафон http://t.co/RRVUL0typI прошивка,,,0,,,,
73,492541427486690000,1406266001,"@megafonru @VolkowaH Уточните, пожалуйста в ЛС Ваш номер,  ФИО абонента и Ваше точное местоположение город,улицу и номер дома.Проверим.",,,0,,,,
74,492543853803890000,1406266580,"RT @krasnok18629570: ФАС РФ на заседании в понедельник, 30 июня, приняло сторону компании МТС в споре вокруг контракта на обслуживание Сове…",,0,,,,,
75,492544503036000000,1406266735,прошивка модема e160g билайн http://t.co/jlfEHHqmbY,0,,,,,,
76,492545313627200000,1406266928,"Кста я лошок, вчера билайн вырубил инет на самом интересном месте",-1,,,,,,
77,492545966634170000,1406267084,Tele2 подводит итоги четырех лет работы в Вологодской области,,,,0,,,
78,492546018450640000,1406267096,"@Olegt0rr @MegaFonHelp уточните, на каких именно ветках/на каких станциях наблюдались сложности с недоступностью мобильного интернет?",,,0,,,,
79,492546694094270000,1406267257,"омг, появился сигнал #LTE на работе! #билайн",1,,,,,,
80,492547423362110000,1406267431,"Абоненты МТС могут говорить за счет собеседника, находясь в роуминге",,0,,,,,
81,492548225866670000,1406267622,С 7 по 14 июня 2014 года МТС будет ежедневно проводить розыгрыш билетов на Фестиваль «Воздух»,,0,,,,,
82,492549621554480000,1406267955,что-то опять не работает автоплатеж в мегафон :-(,,,-1,,,,
83,492549795840420000,1406267997,«Мегафон» приобрел еще 25% акций компании «Евросеть» за 657 млн долларов,,,0,,,,
84,492550187332950000,1406268090,«Вымпелком» вслед за МТС снижает стоимость роуминга в Крыму,1,0,,,,,
85,492550944669070000,1406268271,"Как и ожидалось, никакой @MegaFonUralhelp со скоростью помогать даже и не собирался. Лишь бы абонент отстал... http://t.co/hulmUH1CRF",,,-1,,,,
86,492550993670710000,1406268282,"Как отправить маячок с мтс, теле2, мегафона, билайна, ростелеком - KakChtoPochemu.ru http://t.co/hMbDp9ahJg",0,0,0,0,0,,
87,492551703217320000,1406268451,"Вот и МТС запустил LTE в Саратове... Билайн, ау?",-1,1,,,,,
88,492552911675990000,1406268739,«Ростелеком» поддержал проведение соревнований по пляжному футболу «Анапа OPEN»,,,,,0,,
89,492553471393290000,1406268873,RT @t_felg: Предлагаю Билайну сгореть в аду,-1,,,,,,
90,492553613034920000,1406268907,@Wild_Ma13 вся семья на билайне...так бы поменял:),-1,,,,,,
91,492554140623450000,1406269032,пошаговая инструкция как связаться с оператором мегафон http://t.co/yR5dBnEjeL #как #мегафон,,,0,,,,
92,492554676479720000,1406269160,Столько МТС здесь еще не было (@ Центральный парк культуры и отдыха) http://t.co/bnODxS5F7u http://t.co/WtH0CawegJ,,+-,,,,,
93,492555700149950000,1406269404,Два повода подключить скоростной интернет от «Ростелекома» летом #R,,,,,1,,
94,492556432097560000,1406269579,"#минивэн NoahVoxy. Двигатель • Re: Перегрев двигателя 1AZ-FSE?: megafon_35, на алиэкспрес наши... http://t.co/quArnN3gW4 #автозапчасти",,,-1,,,,
95,492557656788580000,1406269871,Система видеонаблюдения «Ростелекома» успешно отработала в дополнительный период ЕГЭ,,,,,0,,
96,492558334470660000,1406270032,"@zinda96 Добрый день!Очень жаль, что у Вас возникло такое желание.Скажите, пож-та,цены на какие тарифы или услуги Вам не подходят? #билайн",-1,,,,,,
97,492558384701260000,1406270044,МТС включила 4G в Саратовской области http://t.co/DHzBXP6K7q,,0,,,,,
98,492561145057010000,1406270702,почему людям нравмтся майнкрафт http://t.co/HUllVIREeI,,0,,,,,
99,492561771535020000,1406270852,"RT @lexandrGurkin: @rus_fas @nicko664 @Grajdansky @megafonru оператор и спамер продолжают рассылки спама, наплевав на ФАС https://t.co/Ajr5…",,,-1,,,,
100,492561773027820000,1406270852,"""Мегафон"" не получил крупный контракт на обслуживание Пенсионного фонда: ПФР при выборе победителя учитывал среди… #Афоризмы",,,0,,,,
101,492570109387770000,1406272840,"@the22ofJuly зайдешь. У меня билайн, так что ты только потратишь деньги, много",-1,,,,,,
102,492570577144910000,1406272951,«Ростелеком» принял участие в учительском проекте,,,,,0,,
103,492570620677610000,1406272962,Более 19 тысяч клиентов оценили на «пятерку» качество обслуживания в салонах «МегаФона» в Бурятии http://t.co/eKMJD6Lvcp,,,1,,,,
104,492572672153620000,1406273451,"В альбоме появились фотки с визита блогеров и журналистов в Билайн, на Взлетную 3 в Красноярске! Смотрим, радуе.. http://t.co/5LK6BekxbK",0,,,,,,
105,492573185192520000,1406273573,"@Malawyn, уточните, пожалуйста, переносимый номер и контактный номер. Спасибо! ^ДП #МТС",,0,,,,,
106,492575818695330000,1406274201,"Короче, вчера до Мегафона я так и не доехал. Зато поузнавал у пользователей МТС..у них LTE работает",,1,-1,,,,
107,492578116406350000,1406274749,НКРСИ выделила «МТС Украина» короткий номер,,0,,,,,
108,492578739528550000,1406274897,«Мегафон» повысил стоимость интернет-роуминга в Европе в 2 раза,,,-1,,,,
109,492581049701260000,1406275448,"@slavyanka_river, о всех изменениях в тарифах или услугах, публикуется информация на нашем сайте: http://t.co/Gj3HHWeF3l. ^ДП #МТС",,0,,,,,
110,492582373071270000,1406275764,"Beeline объявляет о назначении Артура Григоряна на должность коммерческого директора Блока мобильной связи, сообщает пресс-служба компании.",0,,,,,,
111,492584481887620000,1406276266,Вчера был фестиваль Билайна в Барнауле. Билайн запускает у нас 4G) Теперь будет все быыстро)),1,,,,,,
112,492584670119230000,1406276311,Но в салонах Beeline об этом почему-то ещё не знают((,-1,,,,,,
113,492585825528730000,1406276587,мтс для keenetic 4g http://t.co/GV8PslMK4f прошивка,,0,,,,,
114,492587526407070000,1406276992,@ru_mts 24-го получил смс что обращение приняли в работу хотя я жду ответа с 17-го числа - объясните что это означает???????,,-1,,,,,
115,492587754786930000,1406277047,Tele2 совместно в вологжанами украсили Парк мира к новогодним праздникам.Неравнодушные вологжане своими силами украсили Парк Мира к новогод,,,,0,,,
116,492590243632410000,1406277640,@megafonru убивает в людях чувство прекрасного http://t.co/QzXK6LXyh2,,,-1,,,,
117,492590819703280000,1406277777,mf 626 билайн звонить http://t.co/0YcybFfkAo прошивка,0,,,,,,
118,492591473364600000,1406277933,"Бля, че с интернетом, тупой билайн",-1,,,,,,
119,492592992604410000,1406278296,Сотовый оператор МТС ввел функцию звонков из международного роуминга в Россию за счет вызываемого абонента. Об этом «Ленте.ру» сообщили в к,,0,,,,,
120,492593734610350000,1406278472,@abelyalov это был платёж с карты при помощи моб банка СБ. Переслала все в МТС на номер 1911,,0,,,,,
121,492594791733920000,1406278724,Вежливый МТС http://t.co/WxzmcjHct0 #приколы,,1,,,,,
122,492595653521200000,1406278930,"Во время заседания, состоявшегося 24 июля 2014, НКРСИ приняла решение о выделении по заявлению ЗАО &amp;laquo;МТС Украина&amp;raquo; сроком на шест",,0,,,,,
123,492595747020630000,1406278952,Оператор МТС первым среди российских операторов предоставляет абонентам возможность в роуминге совершать звонки за счет вызываемого абонент,,1,,,,,
124,492596137723830000,1406279045,Экскурсия в ростелекоме,,,,,0,,
125,492596975326740000,1406279245,"Экскурсия от РТК (@ Музей Связи ""Ростелеком"" w",,,,,0,,
126,492596975809100000,1406279245,Почему МТС в Дагестане не работает? Кто знает? #RT,,-1,,,,,
127,492598170996990000,1406279530,"УрБК, Екатеринбург, 25.07.2014. Компания «МегаФон» фиксирует резкий рост востребованности междугородних звонков у абонентов оператора на Ур",,,0,,,,
128,492598589198040000,1406279630,В МТС @ новокузнецкая http://t.co/Tgwe9u754A,,0,,,,,
129,492599236622840000,1406279784,@MegaFonHelp  здравствуйте. В Питере тоже LTE не работает до 25?,,,-1,,,,
130,492599843630900000,1406279929,"@zen_pc когда интернетчики свалят на билайн, то мегафон станет нормальным) вообще все по кругу меняется",0,,-1,,,,
131,492600073592000000,1406279984,#RuFollowBack «Билайн» создает удобное web-пространство для корпоративных клиентов #ЧитаюВзаимно,0,,,,,,
132,492600304773650000,1406280039,«МегаФон» запустил в Новосибирске федеральный центр телемаркетинга,,,0,,,,
133,492600719091180000,1406280138,"«Мегафон» открывает в Новосибирске Федеральный центр телемаркетинга..По оценке компании, новый центр будет производить обслуживание свыше 2",,,0,,,,
134,492600915766310000,1406280185,Мегафон намерен отключить международный роуминг в Республике Крым,,,1,,,,
135,492601056027630000,1406280218,Вот такую чудную композицию из полевых цветов Вам дарит #мегафон в честь дня рождения компании @MegaFonUral http://t.co/gpWtnGYv20,,,1,,,,
136,492601371053810000,1406280293,@ru_mts а не противоречит ли это закону о возможности перехода между операторами с сохранением номера?,,-1,,,,,
137,492602457545910000,1406280552,"«МегаФон» модернизирует 400 базовых станций в Ростовской области: ""МегаФон"" намерен установить 400 новых маршрутизаторов компании... #железо",,,1,,,,
138,492602458737080000,1406280552,«МегаФон» модернизирует 400 базовых станций в Ростовской области,,,1,,,,
139,492602458816770000,1406280552,#ЧитаюВзаимно «МегаФон» модернизирует 400 базовых станций в Ростовской области #ВЗАИМНЫЙ,,,1,,,,
140,492602502525620000,1406280563,«МегаФон» модернизирует 400 базовых станций в Ростовской области http://t.co/mLUaPN79O3,,,1,,,,
141,492602778926450000,1406280629,"RT @nikkiewart: Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь.",0,0,0,,,,
142,492603416334860000,1406280781,"МТС: ""Мы приветствуем защиту абонентов от спама"" /  http://t.co/onIMs8EBzj http://t.co/Wf1UO7o6yx",,1,,,,,
143,492603595745800000,1406280824,"Мегафон спонсор ""ДОМа-2""...(я меняю симку)",,,-1,,,,
144,492604003101200000,1406280921,"@1ezha, спасибо! Сейчас все должно работать корректно, протестируйте, пожалуйста. ^ДП #МТС",,1,,,,,
145,492604189001130000,1406280965,прошивка для телефона билайн с100 http://t.co/Zy83m2jWKW,0,,,,,,
146,492604905484730000,1406281136,"В эпоху появления сотовой связи самый лучший оператор был Билайн, его лозунг ""с нами удобно"" очень хорошо работал, не то, что сейчас.",-1,,,,,,
147,492606578772560000,1406281535,RT @stokshina: Приехал послушать про счастье от МТС,,0,,,,,
148,492607464148570000,1406281746,"@MegaFonUralhelp я предоставил всю необходимую информацию. проблема заключается в медленном интернете, а не на каком этаже я живу.",,,-1,,,,
149,492608168439330000,1406281914,RT @Rostelecom_News: А вы поздравили сисадмина с его профессиональным праздником? #деньсисадмина #ростелеком http://t.co/CqAhhNyTyC,,,,,0,,
150,492608255328150000,1406281934,"Так 500 МБ, 3 ГБ или 1 ГБ? #билайн http://t.co/AERDLwuriO",0,,,,,,
151,492609188905100000,1406282157,Что происходит с Билайн? Нереально дозвониться!!! Невыносимо!,-1,,,,,,
152,492609467968520000,1406282224,вы на каку экскурсию? Мы на мегафон #RT,,,0,,,,
153,492609742133790000,1406282289,"Кто там не мог дозвониться до #МТС а я дозвонилась с первого раза. И там есть в меня ""связаться с специалистом набрав 1""",,1,,,,,
154,492610335934010000,1406282431,@Ivbera это билайн,0,,,,,,
155,492611076933300000,1406282607,Лидером рейтинга операционных систем стала Android…. В сети Tele2 увеличилась доля смартфонов,,,,0,,,
156,492611354923390000,1406282673,"Девушки, записывайте в телефонную книгу своих любовников ""МТС"", ""Билайн"", ""Мегафон"". Не палитесь.”",0,0,0,,,,
157,492611399709770000,1406282684,«Rostelecom» расширяет сеть продаж и обслуживания клиентов http://t.co/SQ51hmFgB5,,,,,0,,
158,492611856847340000,1406282793,"@Beeline_RUS Пятницкое шоссе д 18
Молю
Дайте LTE
Огромный ТК, огромная нагрузка
Живём как в каменном веке
Обратите внимание!
Уповаю на вас!",-1,,,,,,
159,492611857027720000,1406282793,"RT @Beeline_RUS: @Asdsaruss Сергей, здравствуйте! Спасибо! Мы рады, что Вам понравилась скорость. Приятного пользования интернетом!  #билайн",1,,,,,,
160,492611990373020000,1406282825,"@EvgenyGalashin Евгений,nano SIM может быть,как с поддержкой LTE,так без неё.Пож-та, обратитесь в офис с паспортом для замены.=&gt;#билайн",0,,,,,,
161,492613099883890000,1406283089,"@_IchiRen, готовы провести проверку, отправьте нам на blogs@mts.ru подробности, указав эти данные: http://t.co/ETLqGM3mUP. ^ДП #МТС",,0,,,,,
162,492613238954420000,1406283123,"RT @wlinccubelqa: «Билайн» приглашает всех поклонников кайтбординга, пляжного отдыха и актуальной музыки на заключительный этап фестиваля B…",0,,,,,,
163,492615339487010000,1406283623,"Также широко представлена в сети информация, освящающая тарифы Билайн по Москве и прочие разновидности рекламных акций.",0,,,,,,
164,492616382388110000,1406283872,"Компания ""Мобильные ТелеСистемы"" (МТС) объявила о запуске сервиса для поведенческого анализа водителей корпоративных автопарков. Новая услу",,1,,,,,
165,492616963063970000,1406284011,МТС проследит за поведением водителей корпоративных автомобилей,,0,,,,,
166,492617055070600000,1406284032,На даче мой Билайн не ловит чет,-1,,,,,,
167,492618315882560000,1406284333,"RT @Beeline_RUS: Вопрос! С каких лет ребенок может пользоваться интернетом сам? Например, нашей «Вебландией»  http://t.co/42lIjU13UC http:/…",0,,,,,,
168,492618535991250000,1406284386,RT @MegaFonUral: Уже завтра мы открываем в Тюмени парк спорта и инноваций «МегаZone».Ждем вас с 12 до 18 на ул. Ленина /Орджоникидзе:) http…,,,0,,,,
169,492618668962900000,1406284417,Пост записи участников Блогерских Игрищ МТС http://t.co/eIZQaoVE6X #играемпорусски #spbblog,,0,,,,,
170,492620547990500000,1406284865,"В Ростовской области Интернет стал быстрее в 10 раз.
&amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, к",,,1,,,,
171,492620994516120000,1406284972,. МТС включила 4G в Саратовской области,,1,,,,,
172,492623209741950000,1406285500,@I_need_a_beach @BMTHurricane пойдем на горку Билайн,0,,,,,,
173,492623566371030000,1406285585,"&amp;laquo;Мегафон&amp;raquo; включил на объектах связи новейшее техническое оборудование, которое позволяет значительно увеличить скорость работы",,,0,,,,
174,492623661304910000,1406285608,"&amp;quot;МегаФон&amp;quot; намерен установить 400 новых маршрутизаторов компании Juniper Networks на базовых станциях в Ростовской области, что по",,,1,,,,
175,492626534101180000,1406286292,"@janejashka ну, кинь скрин в саппорт Мегафона, они разберутся. А над чуваком поиздейвайся, веселье же.",,,0,,,,
176,492626874443380000,1406286374,инструкция для мтс970 http://t.co/t29Oa8lszb #для,,0,,,,,
177,492627199502330000,1406286451,Трейд-Портал: Акции МТС имеют отличные шансы на возобновление движения цен вверх с текущих уровней http://t.co/46Oq0SUuXf,,1,,,,,
178,492629823219850000,1406287077,"RT @retucargo: Рейтинг стоимости брендов: Apple — лидер, две российские компании — Сбербанк и МТС вошли в топ-100",,1,,,,,
179,492629966106810000,1406287111,RT @pybewawypymi: Хочешь стать яйцеголовым? Подключись к МТС!!! ))))))),,1,,,,,
180,492630656548370000,1406287275,"@jonny_socker Провайдер, случайно, не Ростелеком?",,,,,0,,
181,492633031447160000,1406287842,"@megafonru  судя по тому, что твит прошел, видимо работает",,,0,,,,
3445,495814263395840000,1407046306,Модем мтс инструкция http://t.co/grgMGuibut,,0,,,,,
182,492633390727070000,1406287927,"""Ростелеком"" подсчитал ущерб от наводнения в Алтайском крае и Республике Алтай",,,,,0,,
183,492636660958770000,1406288707,«Комстар-ОТС» обеспечит связью деловой центр Ресо в Санкт-Петербурге,,,,,,0,
184,492636710489300000,1406288719,МТС нацелился на половину «Связного»,,0,,,,,
185,492636755070570000,1406288729,"@mbrr_ru
МТС-Банк:
Новые возможности карты «МТС Деньги»
http://t.co/TTgMrRPhQT
#news #новости",,0,,,,,
186,492637376544790000,1406288878,RT @MegaFonKomiPR: На самом деле победила команда Сергея Сивкова. Лидеры рулят!,,,0,,,,
187,492638285748270000,1406289094,"#МТС прекрати , что делаешь , где мой интернет ?",,-1,,,,,
188,492638706483070000,1406289195,Пришел на работу в мегафон в кофте мтс!)),,0,0,,,,
189,492638796903900000,1406289216,Весь @ru_mts в одной картинке. Даде на сайте кривая линковка http://t.co/wseDmJWCsx,,-1,,,,,
190,492639864488470000,1406289471,"@chearstime бля, ну почему ты не купила МТСовскую смску, сейчас бесплатно бы чирикали",,1,,,,,
191,492640708353080000,1406289672,"@SotskovaAnn Сообщите нам, пожалуйста, Вы пробовали переставить SIM карту в другой телефон? Какие-нибудь изменения произошли? #билайн",0,,,,,,
192,492641724725200000,1406289914,«Билайн» напомнит о дополнительных услугах,0,,,,,,
193,492642936421890000,1406290203,Окли Окли Окли я лечу к тебе через свою дибильную мегафоновскую скорость,,,-1,,,,
194,492643902252650000,1406290433,В рамках форума Дмитрий Аверов рассказал о внедрении информационной системы для Фонда капитального ремонта многоквартирных домов #Ростелеком,,,,,0,,
195,492646475378480000,1406291047,на мтс бесплатно вообще-то,,1,,,,,
196,492646614323190000,1406291080,Блин как всегда @megafon полный прием 3g интернета ничерта нет,,,-1,,,,
197,492646873501810000,1406291142,@rostelecom_fe Когда личный кабинет для абонентов GPON Приморского края заработает «в полную силу» ?,,,,,-1,,
198,492647495483530000,1406291290,"МТС, ты пьян, иди домой http://t.co/Vbsp5pQzvW",,-1,,,,,
199,492648663542690000,1406291569,«Ростелеком» восстановил доступ к «Газете.Ru в Нижнем Новгороде  #новости http://t.co/hIH1Lk0CsW,,,,,0,,
200,492650526509510000,1406292013,МТС запустил сервис поведенческого анализа водителей http://t.co/Ouv5pb80oI,,1,,,,,
201,492650527415480000,1406292013,МТС запустил сервис поведенческого анализа водителей http://t.co/ntM688XVRh,,1,,,,,
202,492650570642380000,1406292023,@MegaFonUralhelp смс,,,0,,,,
203,492651639485270000,1406292278,Купил 4g интернет от МТС) Летает...!))),,1,,,,,
204,492652185260270000,1406292408,"""Ростелеком"" восстановил доступ к ""Газете.Ru в Нижнем Новгороде: Доступ к ""Газете.Ru"" в Нижнем Новгороде... http://t.co/5aM9ERywQ1",,,,,0,,
